127.0.0.1 - - [22/Nov/2014:22:46:53 +0100] "GET /?pippo=asd HTTP/1.1" 200 1211
127.0.0.1 - - [22/Nov/2014:22:50:56 +0100] "GET /test.html HTTP/1.1" 200 1280
127.0.0.1 - - [22/Nov/2014:22:50:59 +0100] "GET /test.html HTTP/1.1" 200 1173
127.0.0.1 - - [22/Nov/2014:22:51:01 +0100] "GET /test.html HTTP/1.1" 200 1208
127.0.0.1 - - [22/Nov/2014:23:16:36 +0100] "GET /test.html HTTP/1.1" 200 1197
127.0.0.1 - - [22/Nov/2014:23:16:37 +0100] "GET /test.html HTTP/1.1" 200 1197
127.0.0.1 - - [22/Nov/2014:23:16:38 +0100] "GET /test.html HTTP/1.1" 200 1231
127.0.0.1 - - [22/Nov/2014:23:16:39 +0100] "GET /test.html HTTP/1.1" 200 1232
127.0.0.1 - - [22/Nov/2014:23:17:51 +0100] "GET /test.html HTTP/1.1" 200 709
127.0.0.1 - - [22/Nov/2014:23:17:51 +0100] "GET /stylesheets/bird-a.css HTTP/1.1" 200 29582
127.0.0.1 - - [22/Nov/2014:23:17:51 +0100] "GET /vendor/jquery/jquery-ui/jquery-ui.min.js HTTP/1.1" 403 531
127.0.0.1 - - [22/Nov/2014:23:17:51 +0100] "GET /vendor/jquery/jquery-ui/jquery-ui.min.css HTTP/1.1" 403 532
127.0.0.1 - - [22/Nov/2014:23:17:51 +0100] "GET /vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 9792
127.0.0.1 - - [22/Nov/2014:23:17:51 +0100] "GET /vendor/jquery/jquery.js HTTP/1.1" 200 29849
127.0.0.1 - - [22/Nov/2014:23:17:51 +0100] "GET /vendor/jquery/jquery-ui/jquery-ui.min.css HTTP/1.1" 403 531
127.0.0.1 - - [22/Nov/2014:23:17:51 +0100] "GET /vendor/jquery/jquery-ui/jquery-ui.min.js HTTP/1.1" 403 530
127.0.0.1 - - [22/Nov/2014:23:18:55 +0100] "GET /test.html HTTP/1.1" 200 709
127.0.0.1 - - [22/Nov/2014:23:18:56 +0100] "GET /vendor/jquery/jquery.js HTTP/1.1" 200 29849
127.0.0.1 - - [22/Nov/2014:23:18:56 +0100] "GET /vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 9792
127.0.0.1 - - [22/Nov/2014:23:18:56 +0100] "GET /vendor/jquery/jquery-ui/jquery-ui.min.css HTTP/1.1" 200 7851
127.0.0.1 - - [22/Nov/2014:23:18:56 +0100] "GET /stylesheets/bird-a.css HTTP/1.1" 200 29581
127.0.0.1 - - [22/Nov/2014:23:18:56 +0100] "GET /vendor/jquery/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 64090
127.0.0.1 - - [22/Nov/2014:23:19:07 +0100] "GET / HTTP/1.1" 200 837
127.0.0.1 - - [22/Nov/2014:23:19:10 +0100] "GET /favicon.ico HTTP/1.1" 200 9558
127.0.0.1 - - [22/Nov/2014:23:19:59 +0100] "GET / HTTP/1.1" 200 838
127.0.0.1 - - [22/Nov/2014:23:19:59 +0100] "GET /icons/blank.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:19:59 +0100] "GET /icons/unknown.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:19:59 +0100] "GET /icons/image2.gif HTTP/1.1" 304 180
127.0.0.1 - - [22/Nov/2014:23:19:59 +0100] "GET /icons/folder.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:19:59 +0100] "GET /icons/text.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:20:00 +0100] "GET /favicon.png HTTP/1.1" 200 9543
127.0.0.1 - - [22/Nov/2014:23:29:30 +0100] "GET / HTTP/1.1" 200 865
127.0.0.1 - - [22/Nov/2014:23:29:30 +0100] "GET /icons/blank.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:29:30 +0100] "GET /icons/image2.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:29:30 +0100] "GET /icons/unknown.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:29:30 +0100] "GET /icons/folder.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:29:30 +0100] "GET /icons/text.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:29:32 +0100] "GET /avatar92.jpg HTTP/1.1" 200 3121
127.0.0.1 - - [22/Nov/2014:23:31:31 +0100] "GET / HTTP/1.1" 200 865
127.0.0.1 - - [22/Nov/2014:23:31:32 +0100] "GET /icons/blank.gif HTTP/1.1" 200 430
127.0.0.1 - - [22/Nov/2014:23:31:32 +0100] "GET /icons/image2.gif HTTP/1.1" 200 593
127.0.0.1 - - [22/Nov/2014:23:31:32 +0100] "GET /icons/unknown.gif HTTP/1.1" 200 528
127.0.0.1 - - [22/Nov/2014:23:31:32 +0100] "GET /icons/folder.gif HTTP/1.1" 200 507
127.0.0.1 - - [22/Nov/2014:23:31:32 +0100] "GET /icons/text.gif HTTP/1.1" 200 511
127.0.0.1 - - [22/Nov/2014:23:31:32 +0100] "GET /favicon.ico HTTP/1.1" 404 497
127.0.0.1 - - [22/Nov/2014:23:31:34 +0100] "GET /favicon.png HTTP/1.1" 200 2492
127.0.0.1 - - [22/Nov/2014:23:31:51 +0100] "GET / HTTP/1.1" 200 864
127.0.0.1 - - [22/Nov/2014:23:31:51 +0100] "GET /icons/blank.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:31:51 +0100] "GET /icons/image2.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:31:51 +0100] "GET /icons/folder.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:31:51 +0100] "GET /icons/text.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:31:51 +0100] "GET /icons/unknown.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:31:52 +0100] "GET / HTTP/1.1" 200 863
127.0.0.1 - - [22/Nov/2014:23:31:52 +0100] "GET /icons/image2.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:31:52 +0100] "GET /icons/blank.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:31:52 +0100] "GET /icons/unknown.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:31:52 +0100] "GET /icons/text.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:31:52 +0100] "GET /icons/folder.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:31:54 +0100] "GET /favicon.ico HTTP/1.1" 200 2507
127.0.0.1 - - [22/Nov/2014:23:34:18 +0100] "GET / HTTP/1.1" 200 859
127.0.0.1 - - [22/Nov/2014:23:34:18 +0100] "GET /icons/blank.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:34:18 +0100] "GET /icons/image2.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:34:18 +0100] "GET /icons/unknown.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:34:18 +0100] "GET /icons/folder.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:34:18 +0100] "GET /icons/text.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:34:19 +0100] "GET / HTTP/1.1" 200 858
127.0.0.1 - - [22/Nov/2014:23:34:19 +0100] "GET /icons/blank.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:34:19 +0100] "GET /icons/unknown.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:34:19 +0100] "GET /icons/image2.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:34:19 +0100] "GET /icons/folder.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:34:19 +0100] "GET /icons/text.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:34:21 +0100] "GET /favicon.jpg HTTP/1.1" 200 3121
127.0.0.1 - - [22/Nov/2014:23:34:41 +0100] "GET / HTTP/1.1" 200 854
127.0.0.1 - - [22/Nov/2014:23:34:41 +0100] "GET /icons/blank.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:34:41 +0100] "GET /icons/image2.gif HTTP/1.1" 304 180
127.0.0.1 - - [22/Nov/2014:23:34:41 +0100] "GET /icons/unknown.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:34:41 +0100] "GET /icons/folder.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:34:41 +0100] "GET /icons/text.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:34:43 +0100] "GET /favicon.ico HTTP/1.1" 200 3135
127.0.0.1 - - [22/Nov/2014:23:34:46 +0100] "GET /2favicon.ico HTTP/1.1" 200 2507
127.0.0.1 - - [22/Nov/2014:23:35:23 +0100] "GET / HTTP/1.1" 200 854
127.0.0.1 - - [22/Nov/2014:23:35:24 +0100] "GET /icons/blank.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:35:24 +0100] "GET /icons/image2.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:35:24 +0100] "GET /icons/unknown.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:35:24 +0100] "GET /icons/folder.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:35:24 +0100] "GET /icons/text.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:35:24 +0100] "GET / HTTP/1.1" 200 853
127.0.0.1 - - [22/Nov/2014:23:35:24 +0100] "GET /icons/blank.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:35:24 +0100] "GET /icons/image2.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:35:24 +0100] "GET /icons/unknown.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:35:24 +0100] "GET /icons/folder.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:35:24 +0100] "GET /icons/text.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:35:25 +0100] "GET / HTTP/1.1" 200 853
127.0.0.1 - - [22/Nov/2014:23:35:25 +0100] "GET /icons/blank.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:35:25 +0100] "GET /icons/image2.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:35:25 +0100] "GET /icons/unknown.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:35:25 +0100] "GET /icons/folder.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:35:25 +0100] "GET /icons/text.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:35:27 +0100] "GET /favicon.ico HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:35:29 +0100] "GET / HTTP/1.1" 200 853
127.0.0.1 - - [22/Nov/2014:23:35:29 +0100] "GET /icons/blank.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:35:29 +0100] "GET /icons/image2.gif HTTP/1.1" 304 179
127.0.0.1 - - [22/Nov/2014:23:35:29 +0100] "GET /icons/unknown.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:35:29 +0100] "GET /icons/folder.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:35:29 +0100] "GET /icons/text.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:36:54 +0100] "GET /test.html HTTP/1.1" 200 709
127.0.0.1 - - [22/Nov/2014:23:36:55 +0100] "GET /vendor/jquery/jquery.js HTTP/1.1" 200 29849
127.0.0.1 - - [22/Nov/2014:23:36:55 +0100] "GET /vendor/jquery/jquery-ui/jquery-ui.min.css HTTP/1.1" 200 7851
127.0.0.1 - - [22/Nov/2014:23:36:55 +0100] "GET /vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 9791
127.0.0.1 - - [22/Nov/2014:23:36:55 +0100] "GET /vendor/jquery/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 64090
127.0.0.1 - - [22/Nov/2014:23:36:55 +0100] "GET /stylesheets/bird-a.css HTTP/1.1" 200 29581
127.0.0.1 - - [22/Nov/2014:23:41:40 +0100] "GET / HTTP/1.1" 200 854
127.0.0.1 - - [22/Nov/2014:23:41:40 +0100] "GET /icons/blank.gif HTTP/1.1" 304 178
127.0.0.1 - - [22/Nov/2014:23:41:40 +0100] "GET /icons/image2.gif HTTP/1.1" 304 180
